,coin,duration,favorite,like,sectid,sectname,time,view
57,9.4,1014.29,107.93,0.89,163.0,运动,2015-07-05 07:11:36,2792.33
58,1004.79,718.88,1286.82,12.58,33.0,连载动画,2015-07-05 07:11:36,854689.21
59,44.79,1413.04,203.6,1.11,122.0,野生技术协会,2015-07-05 07:11:36,6688.97
60,142.52,108.02,370.4,2.44,26.0,音MAD,2015-07-05 07:11:36,26527.23
61,30.35,1990.86,213.09,2.19,130.0,音乐选集,2015-07-05 07:11:36,6207.69
62,14.07,1186.15,47.13,0.31,136.0,音游,2015-07-05 07:11:36,3637.06
63,27.12,694.66,247.36,1.61,184.0,预告 资讯,2015-07-05 07:11:36,16855.25
64,366.01,350.43,1062.73,8.25,22.0,鬼畜调教,2015-07-05 07:11:36,49582.64
0,25.3,1600.31,243.47,2.03,175.0,ASMR,2015-07-15 07:11:36,9735.93
1,67.94,298.72,138.7,1.59,121.0,GMV,2015-07-15 07:11:36,6609.95
2,22.57,892.96,542.48,4.02,131.0,Korea相关,2015-07-15 07:11:36,12434.15
3,44.06,236.96,172.6,1.75,24.0,MAD-AMV,2015-07-15 07:11:36,5211.86
4,24.63,236.38,286.81,1.88,25.0,MMD-3D,2015-07-15 07:11:36,3766.22
5,24.25,1187.39,22.79,0.1,19.0,Mugen,2015-07-15 07:11:36,5539.09
6,34.18,583.14,339.82,1.68,54.0,OP-ED-OST,2015-07-15 07:11:36,9426.15
7,160.66,328.88,530.91,7.05,30.0,VOCALOID-UTAU,2015-07-15 07:11:36,12095.44
8,33.65,492.74,262.94,1.06,154.0,三次元舞蹈,2015-07-15 07:11:36,18304.95
9,29.12,1141.07,218.01,2.02,29.0,三次元音乐,2015-07-15 07:11:36,6401.22
10,890.32,120.24,1522.74,18.09,126.0,人力VOCALOID,2015-07-15 07:11:36,65722.02
11,27.43,4387.33,755.6,2.59,37.0,人文历史,2015-07-15 07:11:36,12409.74
12,24.17,9145.67,2803.5,8.0,164.0,健身,2015-07-15 07:11:36,21692.83
13,31.23,665.63,193.74,7.63,174.0,其他,2015-07-15 07:11:36,8463.44
14,20.45,240.43,111.34,1.83,75.0,动物圈,2015-07-15 07:11:36,16337.68
15,1783.67,217.0,5717.0,56.33,28.0,原创音乐,2015-07-15 07:11:36,138509.33
16,64.06,5464.53,704.5,22.81,185.0,国产剧,2015-07-15 07:11:36,81123.28
17,701.12,2130.71,409.14,4.2,153.0,国产动画,2015-07-15 07:11:36,320185.98
18,383.05,1170.65,1311.3,23.0,168.0,国产原创相关,2015-07-15 07:11:36,49081.75
19,42.17,6190.17,939.33,11.0,147.0,国产电影,2015-07-15 07:11:36,51471.17
20,362.37,397.73,598.23,7.76,20.0,宅舞,2015-07-15 07:11:36,28742.72
21,86.68,20735.71,1787.75,7.14,32.0,完结动画,2015-07-15 07:11:36,49863.7
22,38.95,2600.28,349.18,2.56,152.0,官方延伸,2015-07-15 07:11:36,7601.54
23,32.33,401.67,177.67,4.0,169.0,布袋戏,2015-07-15 07:11:36,11288.67
24,44.67,452.13,169.47,1.93,166.0,广告,2015-07-15 07:11:36,12216.4
25,39.32,293.68,185.5,2.54,183.0,影视剪辑,2015-07-15 07:11:36,9598.33
26,26.4,286.31,133.54,2.51,182.0,影视杂谈,2015-07-15 07:11:36,16762.57
27,35.8,602.23,154.83,1.07,161.0,手工,2015-07-15 07:11:36,7307.0
28,10.05,610.58,27.46,0.34,172.0,手机游戏,2015-07-15 07:11:36,3501.83
29,44.72,531.41,298.76,4.75,138.0,搞笑,2015-07-15 07:11:36,36211.3
30,1283.67,798.0,6219.33,24.33,127.0,教程演示,2015-07-15 07:11:36,73602.33
31,16.36,595.92,57.54,0.41,95.0,数码,2015-07-15 07:11:36,10639.36
32,22.16,773.38,131.6,3.02,21.0,日常,2015-07-15 07:11:36,8146.22
33,29.34,543.66,236.35,2.66,137.0,明星,2015-07-15 07:11:36,8051.57
34,54.06,1041.0,139.91,1.61,96.0,星海,2015-07-15 07:11:36,15759.53
35,9.0,2567.5,458.5,0.0,158.0,服饰,2015-07-15 07:11:36,5357.5
36,14.58,1077.63,135.74,1.02,98.0,机械,2015-07-15 07:11:36,11259.47
37,12.24,1723.58,17.28,0.32,173.0,桌游棋牌,2015-07-15 07:11:36,8133.46
38,2.51,560.79,34.44,0.4,176.0,汽车,2015-07-15 07:11:36,4525.64
39,69.98,301.52,177.94,2.95,59.0,演奏,2015-07-15 07:11:36,8060.03
40,24.11,5249.55,263.91,1.09,39.0,演讲-公开课,2015-07-15 07:11:36,5601.36
41,11.69,6050.77,451.08,2.69,179.0,热血军事,2015-07-15 07:11:36,11844.08
42,90.22,360.04,689.52,25.22,86.0,特摄,2015-07-15 07:11:36,36384.35
43,9.93,1965.68,19.18,0.19,171.0,电子竞技,2015-07-15 07:11:36,6057.11
44,0.0,68.0,1.5,0.5,82.0,电影相关,2015-07-15 07:11:36,785.0
45,6.0,77.0,27.0,0.0,128.0,电视剧相关,2015-07-15 07:11:36,463.0
46,12.81,723.06,394.06,5.7,85.0,短片,2015-07-15 07:11:36,18214.52
47,99.25,617.73,635.98,6.66,47.0,短片-手书-配音,2015-07-15 07:11:36,16946.9
48,41.56,5202.21,943.18,2.91,178.0,科学探索,2015-07-15 07:11:36,30350.88
49,259.51,1114.8,737.06,2.95,162.0,绘画,2015-07-15 07:11:36,12762.44
50,111.89,555.43,253.12,3.56,27.0,综合,2015-07-15 07:11:36,18602.88
51,20.54,2286.39,251.28,1.52,71.0,综艺,2015-07-15 07:11:36,11301.27
52,11.38,490.33,327.38,0.29,157.0,美妆,2015-07-15 07:11:36,8599.71
53,28.23,902.62,181.5,0.75,76.0,美食圈,2015-07-15 07:11:36,14374.51
54,110.85,239.76,251.09,2.43,31.0,翻唱,2015-07-15 07:11:36,9372.32
55,21.29,3170.29,934.59,1.65,180.0,舌尖上的旅行,2015-07-15 07:11:36,31755.06
56,28.88,465.12,594.44,1.37,156.0,舞蹈教程,2015-07-15 07:11:36,15086.56
57,15.64,204.58,183.68,1.22,61.92,资讯,2015-07-15 07:11:36,19207.3
58,26.36,679.78,297.6,1.73,124.0,趣味科普人文,2015-07-15 07:11:36,26896.82
59,7.14,937.58,107.21,0.84,163.0,运动,2015-07-15 07:11:36,2501.08
60,843.48,489.69,654.2,7.63,33.0,连载动画,2015-07-15 07:11:36,755571.59
61,264.34,1908.1,314.27,2.19,122.0,野生技术协会,2015-07-15 07:11:36,19643.58
62,410.65,151.55,2063.56,44.17,26.0,音MAD,2015-07-15 07:11:36,56625.76
63,48.58,1662.78,198.18,1.7,130.0,音乐选集,2015-07-15 07:11:36,5465.64
64,11.94,383.8,52.4,0.26,136.0,音游,2015-07-15 07:11:36,3055.81
65,35.1,662.21,404.89,3.76,184.0,预告 资讯,2015-07-15 07:11:36,20205.78
66,395.18,112.67,1037.3,9.43,22.0,鬼畜调教,2015-07-15 07:11:36,48649.34
0,51.46,1391.67,402.09,5.03,175.0,ASMR,2015-07-25 07:11:36,15153.77
1,52.33,260.53,170.12,1.87,121.0,GMV,2015-07-25 07:11:36,6932.74
2,39.02,973.23,694.44,7.39,131.0,Korea相关,2015-07-25 07:11:36,16971.69
3,87.34,250.18,317.49,3.24,24.0,MAD-AMV,2015-07-25 07:11:36,10595.51
4,34.34,228.91,294.92,1.99,25.0,MMD-3D,2015-07-25 07:11:36,4276.33
5,18.63,1709.54,14.45,0.45,19.0,Mugen,2015-07-25 07:11:36,4649.81
6,56.02,768.39,369.32,1.86,54.0,OP-ED-OST,2015-07-25 07:11:36,11339.47
7,74.1,333.09,307.9,3.13,30.0,VOCALOID-UTAU,2015-07-25 07:11:36,6060.62
8,54.76,342.27,400.7,9.35,154.0,三次元舞蹈,2015-07-25 07:11:36,21077.01
9,25.46,1337.97,194.65,2.26,29.0,三次元音乐,2015-07-25 07:11:36,5069.3
10,494.17,128.09,1133.88,9.55,126.0,人力VOCALOID,2015-07-25 07:11:36,42637.63
11,19.72,5353.74,631.97,3.21,37.0,人文历史,2015-07-25 07:11:36,13956.38
12,35.83,1515.2,201.63,1.46,174.0,其他,2015-07-25 07:11:36,5286.24
13,36.31,256.96,170.0,3.45,75.0,动物圈,2015-07-25 07:11:36,15768.39
14,10389.0,290.2,23366.4,240.0,28.0,原创音乐,2015-07-25 07:11:36,453279.0
15,24.2,2496.25,348.8,11.9,185.0,国产剧,2015-07-25 07:11:36,53799.45
16,712.92,2430.57,1146.04,28.26,153.0,国产动画,2015-07-25 07:11:36,105293.13
17,478.83,1106.61,1800.33,11.35,168.0,国产原创相关,2015-07-25 07:11:36,36419.61
18,91.07,-1.0,1893.29,26.71,147.0,国产电影,2015-07-25 07:11:36,47200.43
19,64.53,357.37,182.99,0.96,20.0,宅舞,2015-07-25 07:11:36,13913.83
20,162.53,17221.68,3160.86,25.71,32.0,完结动画,2015-07-25 07:11:36,85960.66
21,50.82,2038.48,440.77,2.94,152.0,官方延伸,2015-07-25 07:11:36,9740.55
22,6.67,1045.83,30.67,0.83,169.0,布袋戏,2015-07-25 07:11:36,3611.0
23,15.12,1171.0,194.31,0.92,166.0,广告,2015-07-25 07:11:36,88156.19
24,41.02,304.54,177.94,2.7,183.0,影视剪辑,2015-07-25 07:11:36,8070.68
25,26.04,308.36,91.6,4.6,182.0,影视杂谈,2015-07-25 07:11:36,15844.8
26,122.48,349.67,187.05,5.14,161.0,手工,2015-07-25 07:11:36,34721.86
27,11.53,581.46,33.79,0.37,172.0,手机游戏,2015-07-25 07:11:36,3155.16
28,32.58,545.76,147.27,2.72,138.0,搞笑,2015-07-25 07:11:36,24586.88
29,419.62,753.62,843.75,5.75,127.0,教程演示,2015-07-25 07:11:36,30397.0
30,14.53,699.15,37.59,0.31,95.0,数码,2015-07-25 07:11:36,7929.43
31,26.9,896.06,134.66,1.69,21.0,日常,2015-07-25 07:11:36,7967.07
32,52.8,523.67,295.86,4.49,137.0,明星,2015-07-25 07:11:36,9727.06
33,130.43,891.06,257.68,3.29,96.0,星海,2015-07-25 07:11:36,14782.86
34,6.0,460.5,297.5,2.0,158.0,服饰,2015-07-25 07:11:36,10621.5
35,16.15,646.68,59.38,0.88,98.0,机械,2015-07-25 07:11:36,5935.88
36,7.54,1695.92,21.21,0.46,173.0,桌游棋牌,2015-07-25 07:11:36,5322.9
37,3.22,514.63,32.22,0.34,176.0,汽车,2015-07-25 07:11:36,4522.41
38,139.97,320.0,425.89,9.86,59.0,演奏,2015-07-25 07:11:36,12462.61
39,84.64,3842.77,2094.82,18.89,39.0,演讲-公开课,2015-07-25 07:11:36,13162.75
40,16.22,6605.78,268.89,2.67,179.0,热血军事,2015-07-25 07:11:36,16266.33
41,48.62,451.45,400.72,18.41,86.0,特摄,2015-07-25 07:11:36,30919.41
42,28.21,2357.14,34.81,0.35,171.0,电子竞技,2015-07-25 07:11:36,7844.28
43,13.17,1025.17,222.33,1.17,82.0,电影相关,2015-07-25 07:11:36,6615.33
44,20.07,278.79,105.64,1.07,128.0,电视剧相关,2015-07-25 07:11:36,3108.79
45,26.63,757.67,488.09,2.46,85.0,短片,2015-07-25 07:11:36,20774.58
46,172.64,291.12,562.0,7.45,47.0,短片-手书-配音,2015-07-25 07:11:36,14638.07
47,25.85,3670.33,472.92,2.41,178.0,科学探索,2015-07-25 07:11:36,16386.26
48,61.03,969.93,178.07,1.21,162.0,绘画,2015-07-25 07:11:36,8473.37
49,100.85,527.06,272.03,3.06,27.0,综合,2015-07-25 07:11:36,14266.45
50,22.87,3201.18,304.55,1.68,71.0,综艺,2015-07-25 07:11:36,13459.93
51,20.17,311.67,957.75,0.58,157.0,美妆,2015-07-25 07:11:36,17645.08
52,34.67,1106.29,198.99,1.04,76.0,美食圈,2015-07-25 07:11:36,15513.36
53,139.12,406.86,347.67,3.55,31.0,翻唱,2015-07-25 07:11:36,10266.01
54,56.17,2591.33,1553.25,1.42,180.0,舌尖上的旅行,2015-07-25 07:11:36,46819.5
55,75.08,551.45,982.97,3.42,156.0,舞蹈教程,2015-07-25 07:11:36,26241.29
56,40.72,699.62,342.51,2.62,64.5,资讯,2015-07-25 07:11:36,30835.15
57,38.75,612.99,258.5,1.51,124.0,趣味科普人文,2015-07-25 07:11:36,22765.5
58,10.45,1073.81,92.31,2.24,163.0,运动,2015-07-25 07:11:36,6437.46
59,823.97,640.97,873.01,4.21,33.0,连载动画,2015-07-25 07:11:36,457925.18
60,51.48,1404.32,488.21,2.48,122.0,野生技术协会,2015-07-25 07:11:36,11361.85
61,356.81,145.0,644.19,5.03,26.0,音MAD,2015-07-25 07:11:36,21768.41
62,38.61,2262.68,211.65,2.64,130.0,音乐选集,2015-07-25 07:11:36,6488.26
63,6.23,415.22,24.75,0.24,136.0,音游,2015-07-25 07:11:36,1237.62
64,22.85,810.83,250.79,1.68,184.0,预告 资讯,2015-07-25 07:11:36,11717.51
65,743.65,130.78,1436.23,50.83,22.0,鬼畜调教,2015-07-25 07:11:36,71489.71
0,135.33,2006.97,1217.4,34.88,175.0,ASMR,2015-08-04 07:11:36,52248.81
1,50.43,265.94,136.87,2.21,121.0,GMV,2015-08-04 07:11:36,4733.81
2,33.49,1095.9,679.3,5.02,131.0,Korea相关,2015-08-04 07:11:36,15281.14
3,111.12,255.02,324.89,3.1,24.0,MAD-AMV,2015-08-04 07:11:36,8246.22
4,32.64,557.75,312.97,2.75,25.0,MMD-3D,2015-08-04 07:11:36,3813.65
5,13.73,1843.33,13.67,0.19,19.0,Mugen,2015-08-04 07:11:36,4056.5
6,32.83,754.41,308.69,1.45,54.0,OP-ED-OST,2015-08-04 07:11:36,9894.83
7,70.25,281.29,314.23,4.88,30.0,VOCALOID-UTAU,2015-08-04 07:11:36,6096.84
8,120.27,274.16,475.09,3.49,154.0,三次元舞蹈,2015-08-04 07:11:36,27795.35
9,21.37,1180.99,186.33,1.53,29.0,三次元音乐,2015-08-04 07:11:36,5240.82
10,333.18,220.75,717.32,3.99,126.0,人力VOCALOID,2015-08-04 07:11:36,29998.53
11,67.83,4118.14,741.08,2.76,37.0,人文历史,2015-08-04 07:11:36,20830.34
12,5.0,7870.0,211.67,0.0,164.0,健身,2015-08-04 07:11:36,2601.67
13,42.07,505.0,300.66,3.61,174.0,其他,2015-08-04 07:11:36,9931.25
14,27.7,194.14,86.52,1.87,75.0,动物圈,2015-08-04 07:11:36,13739.01
15,263.0,245.0,479.0,4.0,28.0,原创音乐,2015-08-04 07:11:36,8031.0
16,304.78,1465.65,2710.65,25.43,185.0,国产剧,2015-08-04 07:11:36,139884.91
17,972.87,1325.42,477.85,9.02,153.0,国产动画,2015-08-04 07:11:36,222050.05
18,305.95,999.68,1468.9,19.93,168.0,国产原创相关,2015-08-04 07:11:36,26952.15
19,957.0,-1.0,19920.0,343.0,147.0,国产电影,2015-08-04 07:11:36,765263.0
20,160.19,310.12,338.95,4.1,20.0,宅舞,2015-08-04 07:11:36,18614.14
21,275.5,16609.61,2465.12,12.36,32.0,完结动画,2015-08-04 07:11:36,155640.79
22,28.51,4368.41,203.44,1.56,152.0,官方延伸,2015-08-04 07:11:36,6294.16
23,37.78,229.67,229.67,5.56,169.0,布袋戏,2015-08-04 07:11:36,7024.56
24,218.44,1309.94,3161.44,13.38,166.0,广告,2015-08-04 07:11:36,134984.0
25,46.36,343.0,222.48,2.59,183.0,影视剪辑,2015-08-04 07:11:36,8657.58
26,115.55,415.88,787.61,9.58,182.0,影视杂谈,2015-08-04 07:11:36,36292.91
27,19.3,515.1,106.95,0.4,161.0,手工,2015-08-04 07:11:36,4105.95
28,9.94,1457.13,26.51,0.21,172.0,手机游戏,2015-08-04 07:11:36,3446.25
29,49.8,467.65,184.41,4.15,138.0,搞笑,2015-08-04 07:11:36,27737.11
30,192.33,3569.67,1666.33,4.33,127.0,教程演示,2015-08-04 07:11:36,36489.33
31,8.89,718.56,39.97,0.3,95.0,数码,2015-08-04 07:11:36,6113.04
32,30.95,1029.75,148.61,2.68,21.0,日常,2015-08-04 07:11:36,11447.62
33,30.72,614.29,207.75,3.17,137.0,明星,2015-08-04 07:11:36,6638.65
34,37.35,899.56,137.05,2.01,96.0,星海,2015-08-04 07:11:36,15110.96
35,18.0,529.0,464.0,2.0,158.0,服饰,2015-08-04 07:11:36,15121.5
36,10.0,453.56,166.02,0.87,98.0,机械,2015-08-04 07:11:36,9255.66
37,13.44,2318.46,22.02,0.43,173.0,桌游棋牌,2015-08-04 07:11:36,7221.67
38,5.7,595.58,73.12,0.43,176.0,汽车,2015-08-04 07:11:36,8420.58
39,78.0,1060.5,2791.0,21.0,187.0,海外剧,2015-08-04 07:11:36,276744.5
40,75.4,355.69,214.22,2.98,59.0,演奏,2015-08-04 07:11:36,7703.32
41,25.65,6390.63,550.11,3.43,39.0,演讲-公开课,2015-08-04 07:11:36,7627.48
42,93.67,5106.75,779.67,9.83,179.0,热血军事,2015-08-04 07:11:36,16907.33
43,37.32,614.92,119.05,4.13,86.0,特摄,2015-08-04 07:11:36,9868.82
44,13.13,2189.1,35.88,0.28,171.0,电子竞技,2015-08-04 07:11:36,7504.18
45,24.6,403.2,190.4,0.2,82.0,电影相关,2015-08-04 07:11:36,6226.2
46,27.67,224.0,1083.33,8.33,128.0,电视剧相关,2015-08-04 07:11:36,50564.33
47,16.91,691.28,159.47,1.12,85.0,短片,2015-08-04 07:11:36,10682.08
48,162.2,371.02,709.37,9.24,47.0,短片-手书-配音,2015-08-04 07:11:36,13772.61
49,9.21,3036.11,184.79,0.89,178.0,科学探索,2015-08-04 07:11:36,8131.11
50,26.54,1461.68,128.08,0.99,162.0,绘画,2015-08-04 07:11:36,3066.23
51,192.01,625.04,575.31,6.19,27.0,综合,2015-08-04 07:11:36,21796.11
52,23.88,4113.74,320.96,1.95,71.0,综艺,2015-08-04 07:11:36,13181.65
53,20.4,1134.13,871.73,1.53,157.0,美妆,2015-08-04 07:11:36,18563.4
54,37.17,803.13,182.01,0.59,76.0,美食圈,2015-08-04 07:11:36,13416.29
55,125.97,333.15,279.98,4.0,31.0,翻唱,2015-08-04 07:11:36,8658.59
56,15.91,1558.35,320.61,0.74,180.0,舌尖上的旅行,2015-08-04 07:11:36,12046.22
57,91.32,522.82,968.35,6.03,156.0,舞蹈教程,2015-08-04 07:11:36,19412.21
58,22.45,546.92,362.6,2.12,67.76,资讯,2015-08-04 07:11:36,20218.44
59,35.82,742.77,306.97,3.04,124.0,趣味科普人文,2015-08-04 07:11:36,22773.99
60,15.74,3407.65,167.71,1.87,163.0,运动,2015-08-04 07:11:36,8538.64
61,1058.65,409.26,784.08,8.87,33.0,连载动画,2015-08-04 07:11:36,839337.29
62,44.73,1340.88,290.29,1.78,122.0,野生技术协会,2015-08-04 07:11:36,7244.11
63,39.51,135.77,149.18,1.98,26.0,音MAD,2015-08-04 07:11:36,7749.12
64,45.08,1380.98,260.45,2.45,130.0,音乐选集,2015-08-04 07:11:36,6377.58
65,16.27,381.94,40.47,0.29,136.0,音游,2015-08-04 07:11:36,2278.52
66,8.48,401.56,110.98,1.09,184.0,预告 资讯,2015-08-04 07:11:36,8354.61
67,439.21,169.94,1159.35,23.69,22.0,鬼畜调教,2015-08-04 07:11:36,56841.22
0,41.59,1437.17,364.29,4.02,175.0,ASMR,2015-08-14 07:11:36,11247.86
1,34.57,201.39,141.59,2.54,121.0,GMV,2015-08-14 07:11:36,7271.52
2,28.85,1227.36,651.98,5.27,131.0,Korea相关,2015-08-14 07:11:36,15413.51
3,81.91,243.04,240.61,2.62,24.0,MAD-AMV,2015-08-14 07:11:36,6091.74
4,40.5,220.07,289.2,1.86,25.0,MMD-3D,2015-08-14 07:11:36,4890.39
5,12.77,1327.24,9.66,0.14,19.0,Mugen,2015-08-14 07:11:36,3212.19
6,34.24,827.21,297.68,2.97,54.0,OP-ED-OST,2015-08-14 07:11:36,9505.61
7,103.62,271.22,326.88,4.23,30.0,VOCALOID-UTAU,2015-08-14 07:11:36,5088.02
8,105.41,315.52,645.89,3.31,154.0,三次元舞蹈,2015-08-14 07:11:36,28860.02
9,42.95,1237.43,250.81,2.64,29.0,三次元音乐,2015-08-14 07:11:36,6252.71
10,585.69,223.61,1016.84,5.8,126.0,人力VOCALOID,2015-08-14 07:11:36,44443.28
11,20.11,6208.68,543.59,1.47,37.0,人文历史,2015-08-14 07:11:36,8185.06
12,29.0,1366.33,2610.0,2.0,164.0,健身,2015-08-14 07:11:36,25936.67
13,12.26,623.83,208.13,7.88,174.0,其他,2015-08-14 07:11:36,21048.29
14,23.91,194.1,97.82,2.28,75.0,动物圈,2015-08-14 07:11:36,12638.74
15,956.0,313.67,1739.67,10.0,28.0,原创音乐,2015-08-14 07:11:36,48165.0
16,134.36,7648.96,842.71,9.68,185.0,国产剧,2015-08-14 07:11:36,62906.32
17,1110.08,8277.6,1411.05,22.02,153.0,国产动画,2015-08-14 07:11:36,189330.33
18,1630.91,1304.83,1622.89,31.83,168.0,国产原创相关,2015-08-14 07:11:36,67455.04
19,17.5,2746.0,582.0,12.5,147.0,国产电影,2015-08-14 07:11:36,29813.5
20,268.42,352.1,394.01,5.58,20.0,宅舞,2015-08-14 07:11:36,23099.4
21,260.5,18928.7,2900.36,13.11,32.0,完结动画,2015-08-14 07:11:36,129476.66
22,59.62,3106.97,468.97,2.44,152.0,官方延伸,2015-08-14 07:11:36,7485.16
23,18.25,193.5,19.0,1.25,169.0,布袋戏,2015-08-14 07:11:36,3058.25
24,10.85,208.75,119.9,1.2,166.0,广告,2015-08-14 07:11:36,5144.4
25,40.72,332.0,196.42,2.67,183.0,影视剪辑,2015-08-14 07:11:36,8290.64
26,62.16,331.4,262.53,4.3,182.0,影视杂谈,2015-08-14 07:11:36,30724.05
27,13.85,880.24,89.48,0.24,161.0,手工,2015-08-14 07:11:36,2388.21
28,3.15,699.31,8.63,0.12,172.0,手机游戏,2015-08-14 07:11:36,1801.95
29,63.25,445.05,215.65,2.96,138.0,搞笑,2015-08-14 07:11:36,26192.79
30,78.0,784.75,687.0,1.25,127.0,教程演示,2015-08-14 07:11:36,20635.0
31,11.08,836.69,44.7,0.33,95.0,数码,2015-08-14 07:11:36,6727.35
32,18.88,640.24,124.89,2.25,21.0,日常,2015-08-14 07:11:36,7472.09
33,38.85,578.41,252.68,3.73,137.0,明星,2015-08-14 07:11:36,8222.13
34,29.24,1003.24,134.24,1.49,96.0,星海,2015-08-14 07:11:36,11749.83
35,4.76,789.06,43.64,0.34,98.0,机械,2015-08-14 07:11:36,5292.25
36,10.05,1992.17,17.73,0.2,173.0,桌游棋牌,2015-08-14 07:11:36,4555.59
37,6.21,675.1,51.6,0.47,176.0,汽车,2015-08-14 07:11:36,6736.23
38,50.0,0.0,783.0,9.0,187.0,海外剧,2015-08-14 07:11:36,141085.0
39,48.25,312.12,121.2,1.44,59.0,演奏,2015-08-14 07:11:36,4785.26
40,31.27,7877.91,624.29,1.91,39.0,演讲-公开课,2015-08-14 07:11:36,9993.2
41,15.15,4697.58,375.88,1.62,179.0,热血军事,2015-08-14 07:11:36,10768.92
42,44.97,363.83,87.31,3.14,86.0,特摄,2015-08-14 07:11:36,5156.34
43,12.74,2097.34,46.08,0.5,171.0,电子竞技,2015-08-14 07:11:36,6749.74
44,16.0,300.0,186.67,2.33,82.0,电影相关,2015-08-14 07:11:36,16254.67
45,5.33,274.33,29.0,0.33,128.0,电视剧相关,2015-08-14 07:11:36,1292.33
46,14.08,869.79,224.4,1.16,85.0,短片,2015-08-14 07:11:36,12360.05
47,128.87,517.48,597.44,5.99,47.0,短片-手书-配音,2015-08-14 07:11:36,9400.33
48,5.54,3656.0,140.17,0.17,178.0,科学探索,2015-08-14 07:11:36,5623.54
49,74.93,1531.82,230.95,1.17,162.0,绘画,2015-08-14 07:11:36,5686.81
50,69.06,537.1,240.55,3.56,27.0,综合,2015-08-14 07:11:36,10575.84
51,23.59,2526.94,319.24,2.24,71.0,综艺,2015-08-14 07:11:36,12250.28
52,10.29,517.26,299.55,1.79,157.0,美妆,2015-08-14 07:11:36,10936.0
53,50.96,914.48,170.81,0.85,76.0,美食圈,2015-08-14 07:11:36,13449.63
54,141.32,298.09,342.43,4.04,31.0,翻唱,2015-08-14 07:11:36,10150.74
55,20.96,2718.19,935.22,1.93,180.0,舌尖上的旅行,2015-08-14 07:11:36,22151.44
56,75.85,784.47,1086.44,4.0,156.0,舞蹈教程,2015-08-14 07:11:36,23987.74
57,7.3,140.46,81.23,0.44,52.52,资讯,2015-08-14 07:11:36,12805.62
58,54.76,841.67,330.79,3.73,124.0,趣味科普人文,2015-08-14 07:11:36,22962.48
59,19.38,712.9,215.96,2.24,163.0,运动,2015-08-14 07:11:36,6089.12
60,627.37,422.05,586.69,4.89,33.0,连载动画,2015-08-14 07:11:36,466983.72
61,118.23,2512.42,734.15,3.48,122.0,野生技术协会,2015-08-14 07:11:36,12458.15
62,121.33,162.96,401.83,2.3,26.0,音MAD,2015-08-14 07:11:36,12072.23
63,34.07,1472.13,194.32,1.53,130.0,音乐选集,2015-08-14 07:11:36,5702.89
64,14.51,335.93,29.81,0.2,136.0,音游,2015-08-14 07:11:36,2179.21
65,18.11,731.92,267.33,3.03,184.0,预告 资讯,2015-08-14 07:11:36,13035.91
66,459.67,169.99,1224.0,17.88,22.0,鬼畜调教,2015-08-14 07:11:36,51993.07
0,33.72,1429.02,344.39,2.1,175.0,ASMR,2015-08-24 07:11:36,11169.17
1,53.27,185.05,157.25,1.41,121.0,GMV,2015-08-24 07:11:36,5214.23
2,39.46,1032.04,745.76,6.0,131.0,Korea相关,2015-08-24 07:11:36,16909.8
3,101.56,233.37,248.81,2.18,24.0,MAD-AMV,2015-08-24 07:11:36,5791.73
4,75.74,212.75,416.94,2.91,25.0,MMD-3D,2015-08-24 07:11:36,6863.24
5,14.23,1271.57,9.92,0.09,19.0,Mugen,2015-08-24 07:11:36,3105.39
6,28.65,794.01,240.56,1.26,54.0,OP-ED-OST,2015-08-24 07:11:36,7619.83
7,93.11,353.61,289.2,3.04,30.0,VOCALOID-UTAU,2015-08-24 07:11:36,5439.72
8,74.39,418.3,521.3,3.19,154.0,三次元舞蹈,2015-08-24 07:11:36,27203.96
9,23.76,1123.31,186.82,2.26,29.0,三次元音乐,2015-08-24 07:11:36,6257.06
10,1224.12,212.12,2112.47,28.57,126.0,人力VOCALOID,2015-08-24 07:11:36,72077.67
11,54.1,5028.12,1744.2,8.33,37.0,人文历史,2015-08-24 07:11:36,22133.37
12,10.0,282.0,545.0,3.0,164.0,健身,2015-08-24 07:11:36,10176.0
13,26.29,365.11,246.89,6.65,174.0,其他,2015-08-24 07:11:36,12951.38
14,41.97,197.83,61.76,1.58,75.0,动物圈,2015-08-24 07:11:36,9445.23
15,852.5,238.67,1717.5,5.5,28.0,原创音乐,2015-08-24 07:11:36,56060.33
16,218.3,1246.35,852.4,10.25,185.0,国产剧,2015-08-24 07:11:36,228961.6
17,255.59,9431.11,495.89,6.93,153.0,国产动画,2015-08-24 07:11:36,120267.71
18,172.96,1635.83,886.1,9.54,168.0,国产原创相关,2015-08-24 07:11:36,19868.79
19,485.67,3799.67,4392.67,18.0,147.0,国产电影,2015-08-24 07:11:36,274743.0
20,93.59,372.1,250.23,1.79,20.0,宅舞,2015-08-24 07:11:36,13483.09
21,455.78,16151.21,4051.76,20.67,32.0,完结动画,2015-08-24 07:11:36,224478.62
22,31.28,2366.59,304.5,1.73,152.0,官方延伸,2015-08-24 07:11:36,5079.2
23,197.5,4058.75,1098.12,20.38,169.0,布袋戏,2015-08-24 07:11:36,42081.38
24,10.05,271.0,168.05,1.33,166.0,广告,2015-08-24 07:11:36,7574.67
25,37.24,345.94,177.96,2.85,183.0,影视剪辑,2015-08-24 07:11:36,8134.15
26,58.05,414.15,216.88,3.2,182.0,影视杂谈,2015-08-24 07:11:36,25055.8
